source,tag,hidden,D_eff,seed,step,exact_pct,token_pct,lm_loss
budget,h128_d9_s0,128,9,0,14000,4.4922,67.6649,0.7450988292694092
budget,h128_d9_s0,128,9,0,16000,10.3516,68.8947,0.7273312211036682
budget,h128_d9_s0,128,9,0,18000,6.6406,68.0266,0.7332301139831543
budget,h128_d9_s0,128,9,0,20000,12.1094,68.4293,0.7468488812446594
budget,h128_d9_s0,128,9,0,22000,8.2031,68.9477,0.7179242968559265
budget,h128_d9_s0,128,9,0,24000,5.0781,67.7686,0.7458791732788086
budget,h128_d9_s0,128,9,0,26000,7.8125,68.5667,0.7280585765838623
budget,h128_d9_s0,128,9,0,28000,12.1094,69.1213,0.7519588470458984
budget,h128_d9_s0,128,9,0,30000,5.4688,67.8192,0.7417809367179871
budget,h128_d9_s1,128,9,1,2000,0.0,58.654,1.0063754320144653
budget,h128_d9_s1,128,9,1,4000,2.3438,64.159,0.8510990738868713
budget,h128_d9_s1,128,9,1,6000,2.5391,65.8348,0.7864943146705627
budget,h128_d9_s1,128,9,1,8000,4.2969,66.6088,0.7813625335693359
budget,h128_d9_s1,128,9,1,10000,3.3203,67.3177,0.7525710463523865
budget,h128_d9_s1,128,9,1,12000,3.5156,67.1996,0.7481231093406677
budget,h128_d9_s1,128,9,1,14000,2.9297,67.7156,0.7442871332168579
budget,h128_d9_s1,128,9,1,16000,5.2734,67.8747,0.7422761917114258
budget,h128_d9_s1,128,9,1,18000,3.9062,67.7469,0.7393268942832947
budget,h128_d9_s1,128,9,1,20000,8.5938,67.73,0.7739218473434448
budget,h128_d9_s1,128,9,1,22000,4.8828,68.1327,0.7284438610076904
budget,h128_d9_s1,128,9,1,24000,8.5938,68.5257,0.7288059592247009
budget,h128_d9_s1,128,9,1,26000,12.5,68.5475,0.7664804458618164
budget,h128_d9_s1,128,9,1,28000,8.5938,68.0821,0.7406907081604004
budget,h128_d9_s1,128,9,1,30000,10.9375,69.0659,0.7177694439888
budget,h128_d9_s2,128,9,2,2000,0.0,58.6203,1.0107083320617676
budget,h128_d9_s2,128,9,2,4000,1.3672,63.7032,0.8498061299324036
budget,h128_d9_s2,128,9,2,6000,2.5391,65.3043,0.7974579930305481
budget,h128_d9_s2,128,9,2,8000,2.5391,66.6426,0.7616535425186157
